,DEPTH,RHOB,VP,GR,NPHI
11347,2668.5664,2.3645633333333334,3194.504522939222,101.68502333333332,0.3456
11348,2668.6914,2.3763666666666667,3215.488357569057,103.35892333333335,0.3766
11349,2668.8164,2.3107,3196.754580913655,104.93750666666668,0.4198
11350,2668.9414,2.3212,3213.9165882115262,106.79548,0.36682666666666663
11351,2669.0664,2.3019,3220.9837955241314,108.63022,0.3611866666666666
11352,2669.1914,2.3964733333333337,3227.9529340896474,109.84880666666666,0.3548599999999999
11353,2669.3164,2.4013033333333333,3234.728288845201,110.60382666666666,0.3488033333333333
11354,2669.4414,2.40589,3241.3040419638214,111.38961666666667,0.34370666666666666
11355,2669.5664,2.3302,3247.7199330247295,112.18871333333335,0.3887
11356,2669.6914,2.3601,3253.993943528875,112.94953,0.3764
11357,2669.8164,2.3865,3260.190423088557,106.348,0.3751
11358,2669.9414,2.4037,3266.2887644359957,109.6833,0.3815
11359,2670.0664,2.4101,3272.101397636205,111.5302,0.3329833333333333
11360,2670.1914,2.4109,3277.308947690289,111.7091,0.3322599999999999
11361,2670.3164,2.414,3281.5110063475868,110.5155,0.3804
11362,2670.4414,2.4191,3284.2066613351567,108.3837,0.3635
11363,2670.5664,2.42,3285.0481387250998,117.72039666666666,0.3435
11364,2670.6914,2.4123,3283.8665006221545,118.70641,0.3272
11365,2670.8164,2.395,3280.707664214958,119.74819666666667,0.3223
11366,2670.9414,2.377,3275.829980812057,120.85943333333333,0.3354
11367,2671.0664,2.3631,3269.6887220591284,122.00781333333333,0.3584
11368,2671.1914,2.3585,3262.707021047421,123.10858333333334,0.3816
11369,2671.3164,2.3658,3238.904255737419,116.0203,0.3321166666666666
11370,2671.4414,2.3824,3255.2521378612096,121.7017,0.3292933333333333
11371,2671.5664,2.3964,3239.220801608037,125.687,0.3503
11372,2671.6914,2.4072,3230.9317910139766,127.228,0.3217
11373,2671.8164,2.4209,3222.4600217442867,126.8784,0.3113
11374,2671.9414,2.4373,3213.790793268366,124.6095,0.3175
11375,2672.0664,2.4539,3204.9125713383683,120.5638,0.3325
11376,2672.1914,2.466,3195.8547207303363,127.88311,0.344
11377,2672.3164,2.466,3186.771069622191,128.68018333333336,0.3379
11378,2672.4414,2.4561,3177.981727337302,129.52618333333334,0.3193
11379,2672.5664,2.4431,3169.8171941323017,130.30621000000002,0.2975
11380,2672.6914,2.4333,3162.535823961504,130.97192333333334,0.2784
11381,2672.8164,2.4298,3156.368947202767,131.556,0.3294
11382,2672.9414,2.429,3151.5065053207613,132.11075000000002,0.33159999999999995
11383,2673.0664,2.4234,3148.0262499666587,132.65467666666666,0.33386999999999994
11384,2673.1914,2.4214,3145.85989413386,133.16626666666667,0.2902
11385,2673.3164,2.4201,3144.8214952187363,133.60413666666665,0.3088
11386,2673.4414,2.4179,3144.7104617723894,133.94985666666665,0.3254
11387,2673.5664,2.4152,3145.352859383983,125.117,0.3362
11388,2673.6914,2.4168,3146.7122373416796,126.8335,0.3463
11389,2673.8164,2.4192,3148.9023655790247,128.8214,0.367
11390,2673.9414,2.4178,3152.0961788107065,131.1658,0.33394333333333337
11391,2674.0664,2.4142,3160.4880921767553,133.4465,0.33156
11392,2674.1914,2.4108,3161.968335532954,135.0584,0.32781333333333335
11393,2674.3164,2.41,3168.8886399290086,135.342,0.32352333333333333
11394,2674.4414,2.4059,3177.264328931809,134.4182,0.3609
11395,2674.5664,2.3972,3187.1171508792877,134.5031,0.324
11396,2674.6914,2.386,3198.3962303023295,135.6773,0.2997
11397,2674.8164,2.376,3211.002514582825,137.4377,0.2909
11398,2674.9414,2.371,3224.7623233597305,138.9592,0.2953
11399,2675.0664,2.371,3239.391029184696,139.3522,0.3079
11400,2675.1914,2.3733,3254.431778042414,138.9788,0.3201
11401,2675.3164,2.3746,3269.2400424044736,138.6226,0.3281
11402,2675.4414,2.3773,3283.042956841555,138.7426,0.3309
11403,2675.5664,2.3848,3294.9835104047374,139.5245,0.3299
11404,2675.6914,2.3995,3304.1964559641297,140.7754,0.3286
11405,2675.8164,2.4118,3310.3760080786583,140.759,0.3284
11406,2675.9414,2.4127,3313.591668592332,139.1363,0.329
11407,2676.0664,2.4041,3314.1448843909757,136.2152,0.3278
11408,2676.1914,2.3904,3312.4815271151915,132.9207,0.3249
11409,2676.3164,2.3771,3309.168199946795,130.4227,0.3224
11410,2676.4414,2.3713,3304.761691407095,129.859,0.3256
11411,2676.5664,2.3787,3299.6479682306413,130.6196,0.3326
11412,2676.6914,2.3905,3294.1050348483477,131.0957,0.3339
11413,2676.8164,2.3999,3277.708357080947,131.0062,0.3279
11414,2676.9414,2.4035,3297.427292701846,130.5715,0.3168
11415,2677.0664,2.4017,3277.3124865866644,130.3509,0.3069
11416,2677.1914,2.3968,3272.6942183765477,130.4887,0.3101
11417,2677.3164,2.3932,3269.3287273123287,130.5121,0.3229
11418,2677.4414,2.393,3267.7596959298294,130.3597,0.3328
11419,2677.5664,2.397,3268.51839570358,130.222,0.3332
11420,2677.6914,2.4047,3272.0854662000106,130.3689,0.3219
11421,2677.8164,2.4137,3278.880783727522,131.0672,0.3018
11422,2677.9414,2.4188,3289.248782627605,132.8294,0.2899
11423,2678.0664,2.4175,3303.3881172974843,135.0079,0.2931
11424,2678.1914,2.413,3321.3254187448742,137.4342,0.3097
11425,2678.3164,2.4105,3370.0709395510107,139.6341,0.3325
11426,2678.4414,2.4167,3392.6377090345677,140.843,0.3514
11427,2678.5664,2.4356,3416.845001014516,139.5471,0.3595
11428,2678.6914,2.4566,3438.9113724392914,135.7255,0.3085066666666666
11429,2678.8164,2.4683,3454.1100850268635,131.0517,0.3039233333333333
11430,2678.9414,2.4684,3456.730758325981,127.1326,0.29985
11431,2679.0664,2.5750833333333327,3484.801282961409,125.2303,0.29603999999999997
11432,2679.1914,2.5791699999999995,3500.6097789411333,125.881,0.29195
11433,2679.3164,2.5818866666666667,3513.555958044228,128.7141,0.28754
11434,2679.4414,2.5843599999999993,3524.6686243359727,131.3215,0.28345333333333333
11435,2679.5664,2.5871966666666664,3534.740519843757,133.4728,0.2802533333333333
11436,2679.6914,2.5904700000000003,3544.3940180170716,135.5131,0.27829666666666664
11437,2679.8164,2.5938166666666667,3554.1717463809373,137.9574,0.3072
11438,2679.9414,2.5969933333333333,3564.3394578912475,140.5288,0.291
11439,2680.0664,2.5998433333333333,3574.8538756520293,142.4317,0.2822
11440,2680.1914,2.602386666666667,3585.5787843765875,132.90606,0.2827
11441,2680.3164,2.604886666666667,3596.4374560627652,142.8022,0.2941
11442,2680.4414,2.607666666666667,3607.34929804747,141.5642,0.313
11443,2680.5664,2.6103733333333334,3618.1550380382905,140.3214,0.3302
11444,2680.6914,2.6128066666666663,3628.642539605836,139.4065,0.3302
11445,2680.8164,2.615616666666666,3638.5577697589733,138.7682,0.3163
11446,2680.9414,2.6199766666666657,3647.653651434049,138.7107,0.2986
11447,2681.0664,2.6274033333333326,3655.6572967997026,139.271,0.2843
11448,2681.1914,2.6391266666666655,3662.287540335596,140.1482,0.2772
11449,2681.3164,2.6547499999999995,3667.228428391567,140.3137,0.2755
11450,2681.4414,2.6722499999999996,3670.109273363681,138.1117,0.2746
11451,2681.5664,2.6533,3670.4972700327,134.2876,0.2745
11452,2681.6914,2.7751,3667.8835124453917,128.8696,0.2731
11453,2681.8164,2.70213,3661.6984276020476,122.2436,0.2669
11454,2681.9414,2.698126666666666,3651.229708729959,131.48759,0.3071566666666667
11455,2682.0664,2.6881933333333325,3636.0670328556057,131.97845,0.3116233333333333
11456,2682.1914,2.6748333333333325,3616.5130922533062,132.88276666666667,0.31643666666666664
11457,2682.3164,2.6598499999999996,3593.4407946856577,134.05773000000002,0.32121666666666665
11458,2682.4414,2.644863333333333,3568.135503118418,135.28780666666668,0.3257466666666666
11459,2682.5664,2.6313866666666663,3542.226069573754,136.38416666666666,0.32998333333333335
11460,2682.6914,2.6763,3517.433479963893,137.29642333333334,0.33358666666666664
11461,2682.8164,2.5818,3495.3343102906433,138.11344333333335,0.33627333333333337
11462,2682.9414,2.5275,3477.165248791016,129.3664,0.33823333333333333
11463,2683.0664,2.6115633333333337,3463.388745524487,131.8487,0.33972333333333343
11464,2683.1914,2.6115033333333333,3454.0391826068258,134.7088,0.3411166666666668
11465,2683.3164,2.6110433333333343,3448.774595897717,137.3471,0.297
11466,2683.4414,2.609943333333334,3440.001986352853,140.2492,0.3087
11467,2683.5664,2.6083466666666673,3447.2787815390298,144.3234,0.3166
11468,2683.6914,2.606293333333333,3449.1576081874377,148.8168,0.321
11469,2683.8164,2.6037533333333327,3451.788059262589,152.5149,0.3254
11470,2683.9414,2.6008533333333337,3454.612570126518,143.32621333333333,0.3324
11471,2684.0664,2.5038,3457.2467447385393,143.30897666666664,0.3408
11472,2684.1914,2.5024,3459.4470940657657,143.18375666666668,0.3408
11473,2684.3164,2.5959899999999996,3461.1042332162783,151.3849,0.3363
11474,2684.4414,2.5088,3434.2501098554417,147.5043,0.3314
11475,2684.5664,2.5637,3447.4763183938926,141.2413,0.3313
